English Word,French Word,Frequency
maiden,jeune fille,401,
companion,un compagnon,1434,
suddenly,tout à coup,377,
rotten,pourri,3278,
though,bien que,201,
shore,bien que,81,
action,pensée,279,
chain,rive,370,
together,action,2531,
judgment,chaîne,364,
hands,ensemble,404,
tedious,jugement,407,
court,mains,417,
lieutenant,fastidieux,369,
shepherd,tribunal,371,
brother,courtoisie,365,
fought,lieutenant,366,
throw,berger,731,
tongue,frère,727,
struck,combattu,663,
cloten,jeter,385,
valour,langue,363,
stain,frappé,363,
ambition,cailloter,367,
earth,valeur,712,
hanging,tache,363,
always,ambition,363,
bottom,Terre,329,
flower,pendaison,56,
oaths,toujours,294,
forbear,bas,475,
although,fleur,602,
sight,fleurs,205,
speak,serments,701,
breath,ancêtre,2161,
suffolk,bien que,291,
stand,vue,86,
credit,parler,84,
discourse,parle,441,
grief,souffle,3750,
cupid,suffolk,667,
kindness,supporter,641,
sweet,comprendre,69,
madness,crédit,71,
drums,discours,860,
shows,douleur,1819,
pistol,Cupidon,171,
blest,la gentillesse,220,
great,sucré,56,
thrust,la démence,171,
leave,tambours,3684,
assure,montre,183,
maintain,pistolet,1143,
witch,heureux,231,
natural,génial,333,
within,poussée,165,
pompey,laisser,117,
deserve,assurer,77,
fancy,maintenir,581,
daughter,sorcière,175,
kneel,Naturel,271,
forces,dans,125,
worth,pompey,112,
before,mériter,1223,
guard,fantaisie,81,
truly,fille,149,
minds,s'agenouiller,70,
falls,les forces,789,
perfect,indigne,302,
office,vaut,248,
loves,avant,393,
didst,garde,852,
cross,vraiment,71,
shortly,esprits,81,
whether,des chutes,334,
policy,parfait,249,
drawn,Bureau,545,
state,aime,90,
fruit,didst,1739,
green,traverser,198,
misery,prochainement,360,
another,qu'il s'agisse,359,
affairs,politique,775,
maids,tiré,1632,
country,biens,244,
stood,Etat,78,
desire,fruit,120,
herself,vert,465,
commit,misère,124,
dying,un autre,2165,
padua,affaires,1354,
these,servantes,117,
lordship,pays,152,
finds,se tenait,93,
thrive,le désir,252,
belike,se,70,
painter,commettre,296,
deadly,en train de mourir,5818,
villain,Padoue,291,
enemy,celles-ci,429,
speech,seigneurie,320,
crown,trouve,1044,
mariana,prospérer,76,
flesh,être comme,494,
dwell,peintre,282,
chamber,mortel,679,
match,scélérat,429,
meeting,ennemi,203,
discover,discours,124,
posthumus,couronne,1070,
offend,Mariana,111,
follow,la chair,747,
undone,habiter,961,
success,chambre,78,
challenge,rencontre,684,
permission,réunion,90,
sought,découvrir,405,
wives,posthume,77,
commanded,offenser,146,
highness,suivre,90,
dagger,défait,73,
duncan,Succès,109,
small,défi,609,
flies,autorisation,1052,
chaste,recherché,69,
night,épouses,293,
wrong,commandé,1455,
stone,altesse,251,
cunning,dague,365,
birth,Duncan,1056,
jealous,petit,329,
humour,mouches,615,
often,chaste,68,
cominius,Chevalier,792,
rascal,minuit,66,
express,nuit,135,
receive,ce soir,113,
render,faux,3624,
benefit,calcul,139,
anger,ruse,133,
slender,naissance,75,
table,jaloux,998,
battle,humour,64,
fetch,souvent,908,
power,cominius,739,
nurse,coquin,67,
particular,Express,80,
forest,recevoir,323,
bears,rendre,972,
innocent,avantage,1435,
miranda,colère,108,
uncle,danger,196,
report,mince,80,
paris,gendarme,317,
marcus,table,343,
glory,bataille,83,
contrary,chercher,377,
thunder,Puissance,311,
breast,infirmière,158,
excellent,particulier,127,
doubt,forêt,49,
comes,ours,176,
choice,innocent,244,
dearly,Miranda,355,
dance,oncle,290,
consent,rapport,100,
oxford,Paris,76,
spoke,Marcus,177,
fearful,gloire,557,
sharp,contraire,340,
burden,tonnerre,425,
fault,Sein,196,
reputation,excellent,185,
sirrah,doute,107,
bishop,vient,145,
knave,choix,174,
those,chèrement,179,
crave,Danse,130,
widow,consentement,252,
creature,Oxford,604,
sudden,parlait,174,
health,craintif,164,
faint,tranchant,603,
colour,fardeau,132,
purpose,faute,71,
countess,réputation,57,
embrace,sirrah,71,
early,évêque,88,
terms,fripon,68,
ulysses,ceux,243,
common,demander,1369,
whence,veuve,260,
intent,créature,65,
attended,soudain,201,
fortune,tout à coup,126,
force,santé,151,
stars,perdre connaissance,247,
commercial,Couleur,255,
desperate,objectif,596,
money,comtesse,174,
scene,embrasse,412,
affections,chèrement,261,
repair,de bonne heure,115,
folly,termes,1251,
worship,Ulysse,669,
tempest,commun,187,
proof,d'où,953,
affection,intention,62,
counterfeit,assisté,1718,
reign,fortune,116,
breed,Obliger,225,
precious,les forces,88,
servant,étoiles,571,
guilty,commercial,158,
trouble,désespéré,123,
being,argent,1107,
charge,scène,118,
nought,affections,78,
denied,réparation,542,
hence,folie,388,
blush,culte,92,
advice,tempête,87,
tells,preuve,572,
soldier,affection,132,
excuse,affections,806,
exeter,contrefaire,93,
bedford,règne,169,
cousin,règne,109,
elder,souverain,152,
after,race,499,
profit,précieux,1330,
first,serviteur,108,
distributed,coupable,426,
treasure,difficulté,966,
yonder,étant,80,
murder,charge,88,
mouth,néant,81,
peace,refusé,80,
broke,Par conséquent,122,
counsel,désormais,140,
behind,d'où,78,
heads,rougir,398,
person,Conseil,344,
execution,raconte,86,
bound,soldat,688,
keeps,excuse,147,
abuse,Exeter,114,
speed,Bedford,113,
complexion,cousin,166,
shake,aîné,166,
repent,après,128,
coward,ensuite,66,
yield,ci-après, par la suite,170,
gross,profit,262,
believe,première,95,
enjoy,distribué,517,
catch,Trésor,86,
become,là-bas,67,
ignorant,meurtre,153,
pandarus,bouche,115,
despite,paix,125,
frame,cassé,468,
issue,Conseil,770,
charity,derrière,691,
labour,têtes,1403,
beauty,la personne,773,
making,personnel,178,
parted,exécution,1707,
pains,lié,64,
garden,garde,479,
liberty,abuser de,184,
prison,la vitesse,64,
defend,complexion,197,
orlando,secouer,72,
tread,se repentir,274,
senator,lâche,156,
already,rendement,72,
glorious,brut,990,
wings,croyez,123,
please,prendre plaisir,402,
forget,capture,201,
heard,devenir,187,
merry,ignorant,285,
milan,Pandarus,159,
maria,malgré,87,
title,Cadre,80,
attend,problème,206,
slander,charité,87,
membership,la main d'oeuvre,101,
sometime,beauté,193,
prologue,fabrication,68,
cinna,séparé,94,
conscience,des douleurs,87,
hazard,jardin,128,
dread,liberté,973,
heart,prison,226,
present,défendre,74,
friend,orlando,170,
quick,bande de roulement,92,
conduct,sénateur,87,
storm,déjà,141,
oberon,glorieux,414,
anything,ailes,80,
remember,S'il vous plaît,208,
practice,oublier,83,
almost,entendu,66,
quoth,joyeux,197,
about,Milan,168,
sworn,maria,272,
subject,Mariana,74,
write,Titre,59,
awake,assister,90,
manner,assisté,65,
brief,calomnie,137,
taught,adhésion,124,
salerio,parfois,98,
steward,prologue,578,
other,cinna,289,
memory,conscience,120,
child,danger,62,
right,crainte,175,
light,horrible,67,
alone,cœur,148,
tribunes,présent,526,
fairy,ami,71,
serve,rapide,96,
summer,conduite,86,
dramatis,orage,354,
bitter,Oberon,70,
business,n'importe quoi,131,
swore,rappelles toi,172,
farther,entraine toi,85,
degree,presque,260,
written,quoth,119,
judge,sur,171,
fight,juré,183,
entertainment,matière,61,
smell,écrire,150,
hateful,éveillé,128,
prayers,manière,62,
fatal,bref,74,
trumpet,enseigné,409,
store,salerio,756,
promise,intendant,237,
blows,un autre,108,
suffer,frère,132,
neither,mère,96,
passage,autre,138,
solemn,autres,322,
mistress,Mémoire,192,
teeth,enfant,950,
seeing,brillant,61,
proper,droits d'auteur,222,
custom,droite,230,
soothsayer,délice,89,
modest,vol,77,
valentine,lumière,101,
worse,seul,293,
humble,tribunes,176,
quarrel,Fée,596,
poins,mériter,57,
field,servir,509,
danger,été,109,
farewell,dramatis,77,
barren,amer,1957,
vantage,Entreprise,117,
grown,juré,96,
awhile,plus loin,336,
sacred,diplôme,169,
number,écrit,151,
search,juge,170,
command,bats toi,476,
chief,divertissement,72,
launce,odeur,183,
cruel,odieux,122,
freely,prières,282,
where,fatal,732,
grant,trompette,206,
plead,boutique,97,
phebe,promettre,80,
content,coups,243,
cheek,souffrir,106,
public,ni,246,
hereafter,passage,326,
scarce,solennel,95,
depart,maîtresse,94,
beaten,les dents,130,
abroad,voyant,93,
least,correct,93,
picture,Douane,221,
personal,devin,84,
senate,modeste,317,
toward,Valentin,149,
outward,pire,101,
letter,humble,189,
myself,querelle,87,
mighty,poins,104,
private,champ,93,
feast,danger,128,
knows,adieu,132,
loose,Dénudé,305,
durst,avantage,193,
grave,avantage,118,
beggar,grandi,90,
horse,quelque temps,62,
damned,sacré,314,
lorenzo,nombre,373,
viola,chercher,444,
civil,commander,78,
brain,commandé,109,
exeunt,chef,279,
utter,sottises,224,
intend,lancer,578,
matter,cruel,115,
works,librement,253,
sense,où,194,
motion,où,400,
sovereign,subvention,129,
rather,plaider,118,
straight,phebe,161,
sorrow,contenu,250,
taste,joue,73,
satisfied,Publique,147,
demand,ci-après, par la suite,168,
claudio,rare,84,
percy,partir,114,
weight,battu,74,
whore,à l'étranger,69,
drops,moins,67,
living,image,185,
meant,personnel,178,
yours,sénat,122,
leisure,vers,69,
spring,vers l'extérieur,90,
quiet,lettre,438,
wrath,moi même,100,
change,puissant,116,
version,privé,370,
prize,le banquet,78,
treason,sait,62,
carry,ample,238,
midnight,durst,65,
fresh,la tombe,98,
beard,mendiant,90,
enobarbus,cheval,416,
staff,damné,123,
patient,Lorenzo,390,
familiar,alto,319,
single,civil,111,
encounter,cerveau,521,
throne,cerveaux,179,
pedro,sortir,162,
somerset,prononcer,164,
because,avoir l'intention,544,
under,matière,96,
order,travaux,425,
malice,sens,98,
porter,mouvement,212,
dinner,souverain,332,
opinion,plutôt,725,
silence,tout droit,92,
street,chagrin,112,
going,goût,66,
claim,satisfait,283,
further,demande,170,
borne,Claudio,317,
according,Percy,525,
merit,poids,123,
willing,putain,76,
instant,gouttes,199,
blood,vivant,258,
question,signifiait,209,
pretty,le tiens,143,
commission,toi même,99,
beast,loisir,712,
poison,printemps,82,
tyrant,silencieux,91,
indeed,colère,114,
virtue,changement,166,
sooner,version,77,
along,prix,129,
whole,trahison,470,
visit,porter,168,
bodies,minuit,82,
tonight,Frais,148,
drown,barbe,109,
devise,énobarbus,148,
despair,Personnel,132,
sword,patient,657,
knees,familier,91,
peril,Célibataire,214,
again,rencontre,209,
special,trône,88,
paper,pedro,369,
pardon,somerset,83,
cromwell,car,255,
hostess,tonnerre,153,
tender,sous,79,
clifford,comprendre,86,
bones,entreprendre,159,
infinite,ordre,85,
download,malice,72,
proclaim,porter,230,
brows,dîner,89,
either,opinion,64,
mowbray,silence,89,
clown,rue,311,
rough,Aller,75,
needs,prétendre,80,
bassianus,proclamer,151,
known,plus loin,132,
count,supporté,257,
messenger,selon,860,
holds,mérite,774,
golden,prêt,117,
grieve,instant,104,
wolsey,du sang,237,
unknown,question,64,
limbs,jolie,144,
priest,commission,63,
native,la bête,85,
reverence,poison,148,
behalf,tyran,485,
deliver,En effet,70,
protest,vertu,68,
perhaps,plus tôt,117,
cardinal,le long de,213,
julia,entier,78,
surely,visite,94,
empty,corps,166,
general,ce soir,65,
curse,noyer,104,
kingdom,concevoir,300,
polixenes,désespoir,107,
frown,épée,98,
respect,les genoux,56,
former,péril,125,
faces,encore,571,
pleasure,spécial,1023,
drunk,papier,227,
slave,pardon,62,
something,Cromwell,151,
hollow,hôtesse,67,
claud,soumissionner,67,
fears,Clifford,719,
thank,des os,206,
eternal,infini,105,
simple,Télécharger,1535,
effect,proclamer,88,
loving,sourcils,80,
guess,Soit,55,
flowers,ni,126,
contempt,mowbray,145,
spare,pitre,93,
merchant,apporté,391,
tears,rugueux,127,
raise,par,212,
banish,forgé,84,
neighbour,Besoins,68,
comfort,bassianus,242,
steel,connu,450,
stroke,inconnue,84,
marcius,Compte,140,
bright,compter,80,
palace,contrefaire,65,
seven,comtesse,135,
mirth,pays,117,
chide,rencontre,143,
philip,Messager,239,
apparel,tient,124,
taken,d'or,85,
teach,pleurer,172,
saint,Wolsey,177,
march,inconnue,57,
enemies,membres,127,
found,prêtre,121,
shall,originaire de,154,
large,révérence,183,
happiness,nom,480,
answer,livrer,59,
haste,manifestation,94,
confess,peut-être,201,
close,cardinal,67,
consider,Julia,146,
knowing,sûrement,58,
asleep,vide,84,
desert,général,65,
spirit,malédiction,94,
round,Royaume,150,
cares,polixènes,119,
bless,froncer les sourcils,58,
short,le respect,82,
prove,ancien,95,
enter,visages,518,
world,mécontentement,564,
liege,plaisir,139,
below,ivre,176,
clouds,esclave,74,
vengeance,quelque chose,89,
season,creux,354,
fenton,claud,448,
lawful,Claudio,237,
there,peurs,165,
venice,remercier,156,
constant,éternel,186,
paulina,Facile,134,
forsooth,effet,82,
includes,aimant,67,
quite,devine,139,
withal,fleurs,101,
learn,mépris,160,
protector,de rechange,111,
request,marchande,89,
emilia,larmes,137,
majesty,louange,143,
winter,élever,535,
heavy,bannir,84,
edmund,voisine,196,
hector,confort,402,
traitor,acier,118,
bearing,accident vasculaire cérébral,290,
murther,Marcius,294,
chance,brillant,95,
throat,palais,308,
gallant,Sept,111,
obedience,gaieté,69,
wherein,gronder,81,
weeds,Philippe,59,
forth,vêtements,102,
dreams,pris,219,
shadow,enseigner,69,
jewel,Saint,250,
armour,Mars,182,
regard,ennemis,68,
blame,a trouvé,203,
queen,doit,135,
yourself,grand,106,
swear,bonheur,491,
gentle,répondre,109,
perceive,chaste,103,
passion,hâte,125,
looks,avouer,103,
watch,proche,268,
delight,considérer,226,
dearest,connaissance,64,
water,endormi,59,
stomach,désert,789,
constable,esprit,175,
thomas,sol,285,
shine,rond,82,
weeping,se soucie,126,
surrey,bénir,580,
cannot,bénédiction,758,
niece,court,90,
every,prochainement,89,
fierce,prouver,1273,
wealth,entrer,248,
account,divertir,248,
justice,divertissement,3809,
doors,monde,268,
lives,Liege,55,
warlike,au dessous de,239,
people,des nuages,74,
would,vengeance,248,
longer,saison,161,
never,Fenton,202,
still,légitime,200,
silver,Là,1657,
ladies,par conséquent,91,
mercy,la bride,73,
ancient,venise,390,
talbot,constant,75,
since,paulina,88,
revolt,en vérité,95,
quality,comprend,343,
death,assez,235,
sickness,avec,85,
project,apprendre,610,
entreat,appris,55,
gaunt,protecteur,60,
fashion,demande,69,
fellow,Émilie,169,
advantage,majesté,409,
bounty,hiver,116,
master,lourd,153,
glass,Edmund,390,
cheer,Hector,299,
violent,traitre,235,
estate,palier,73,
praise,aller plus loin,172,
behold,chance,62,
scorn,gorge,161,
little,galant,88,
sweat,obéissance,446,
avoid,où,958,
speaks,mauvaises herbes,74,
hubert,en avant,351,
courtesy,désormais,103,
weary,rêves,269,
without,ombre,241,
feeble,bijou,524,
until,armure,79,
darkness,qui concerne,178,
husband,faire des reproches,242,
painted,reine,143,
thought,toi même,67,
argument,jurer,78,
acquainted,doux,90,
learned,apercevoir,219,
purse,la passion,235,
above,regards,456,
sentence,regarder,115,
appear,délice,426,
black,très cher,1091,
courage,eau,984,
thing,estomac,337,
point,gendarme,133,
kings,Thomas,84,
displeasure,éclat,84,
makes,larmes,83,
image,Surrey,158,
therein,ne peux pas,72,
suspect,nièce,74,
warrant,chaque,75,
revenge,tout,132,
equal,féroce,115,
flight,richesse,183,
occasion,Compte,88,
strange,Justice,213,
weapons,des portes,332,
sound,vies,95,
smile,guerrier,71,
turns,gens,82,
itself,aurait,61,
favour,plus long,68,
wounded,jamais,63,
foolish,encore,102,
wench,argent,97,
touch,Dames,94,
given,pitié,65,
college,ancien,58,
offence,talbot,166,
stuff,depuis,62,
morning,révolte,113,
monster,qualité,298,
saying,décès,74,
enough,maladie,195,
measure,projet,95,
certain,supplier,70,
blind,décharné,82,
tarry,mode,215,
buried,compagnon,303,
devil,avantage,181,
therefore,prime,52,
clarence,Maître,368,
wound,verre,136,
athens,acclamation,117,
forward,violent,91,
forbid,biens,196,
slain,louange,77,
partly,voir,161,
dispatch,mépris,55,
pluck,peu,122,
burning,transpiration,68,
copies,éviter,260,
habit,parle,216,
place,Hubert,173,
blunt,courtoisie,277,
marry,se lasser,137,
walls,sans pour autant,69,
council,faible,88,
bought,jusqu'à,153,
swift,obscurité,150,
mischief,mari,379,
times,peint,66,
brought,pensée,65,
hundred,argument,195,
prince,connaissance,86,
course,appris,161,
voice,bourse,84,
rivers,au dessus,179,
piece,phrase,265,
prohibited,apparaître,144,
shape,apparaît,125,
nature,noir,100,
church,courage,65,
french,n'importe quoi,112,
wretch,tout,109,
provided,rien,92,
dream,quelque chose,134,
france,chose,147,
disposition,point,65,
realm,rois,81,
tailor,mécontentement,81,
lucentio,fait du,129,
nothing,image,68,
knock,la bride,87,
flatter,suspect,87,
unworthy,mandat,169,
copyright,vengeance,111,
doctor,égal,165,
names,vol,118,
endure,occasion,205,
ladyship,étrange,72,
clear,armes,80,
prepare,du son,194,
through,sourire,71,
reason,se tourne,79,
minister,lui-même,78,
remedy,favoriser,148,
marriage,blessés,103,
think,insensé,79,
sorry,jeune fille,96,
brains,toucher,82,
oliver,donné,143,
spend,Université,106,
approach,infraction,339,
others,des trucs,138,
study,Matin,75,
mother,monstre,111,
sleep,en disant,76,
proceed,assez,92,
offer,mesure,92,
plague,certain,71,
substance,aveugle,127,
entertain,goudronneux,420,
valiant,enterré,59,
dolabella,diable,102,
cause,par conséquent,1092,
could,clarté,68,
lands,blessure,71,
shame,blessés,62,
heaven,Athènes,172,
remain,vers l'avant,86,
goodness,interdire,86,
plain,tué,98,
margaret,partiellement,130,
begin,envoi,70,
except,cueillir,154,
lovers,brûlant,39,
strong,copies,339,
aside,habitude,121,
everything,endroit,57,
truth,cru,51,
abide,marier,140,
condition,des murs,317,
capitol,conseil,212,
castle,acheté,81,
commend,rapide,166,
afraid,sottises,88,
dreadful,fois,87,
angel,apporté,125,
window,cent,121,
emperor,prince,148,
parolles,cours,71,
story,discours,59,
machine,voix,111,
youth,rivières,133,
noble,pièce,95,
figure,interdit,122,
device,forme,67,
noise,la nature,106,
deeds,église,68,
heels,français,246,
between,misérable,78,
blessing,à condition de,157,
royal,rêver,66,
absence,rêves,103,
trust,France,270,
company,disposition,79,
beyond,domaine,203,
rogue,tailleur,123,
henceforth,Lucentio,139,
having,rien,80,
ferdinand,frappe,119,
whose,flatter,76,
second,indigne,85,
young,droits d'auteur,76,
understand,docteur,88,
laugh,des noms,76,
fiery,supporter,62,
parts,Madame,84,
strength,clair,85,
possible,préparer,88,
thief,par,59,
supper,raison,110,
fiend,trahison,80,
patience,ministre,68,
clothes,remède,158,
false,mariage,138,
undertake,pense,64,
witness,Pardon,118,
unhappy,cerveaux,87,
wisdom,oliver,105,
ghost,dépenser,93,
unless,approche,100,
ready,autres,58,
lovely,étude,57,
accuse,mère,164,
triumph,endormi,209,
house,sommeil,47,
wonder,procéder,93,
fourth,offre,76,
trick,peste,89,
trial,substance,146,
ourselves,divertir,77,
leontes,divertissement,103,
cease,vaillant,160,
several,Dolabella,125,
reignier,car,111,
readable,cause,113,
syracuse,pourrait,219,
library,terres,84,
morrow,la honte,84,
flood,paradis,86,
whither,rester,92,
ground,la bonté,79,
steal,plaine,72,
honest,margaret,80,
finger,commencer,65,
waste,sauf,238,
giving,les amoureux,74,
safety,fort,89,
hangs,de côté,77,
secret,tout,77,
greet,vérité,72,
happy,respecter,143,
their,état,104,
music,Capitole,85,
means,Château,293,
party,saluer,67,
lords,peur,65,
ariel,horrible,113,
bring,ange,152,
citizen,la fenêtre,439,
pride,empereur,227,
drink,parolles,97,
woman,récit,71,
better,machine,71,
ransom,jeunesse,101,
third,noble,110,
gates,figure,129,
double,dispositif,64,
flourish,bruit,181,
knowledge,actes,388,
train,talons,333,
victory,entre,110,
hours,bénédiction,183,
twice,Royal,78,
captain,absence,63,
naked,confiance,107,
faith,entreprise,307,
spite,au-delà,67,
divine,coquin,77,
dishonour,désormais,50,
might,ayant,252,
besides,Ferdinand,202,
egypt,dont,97,
service,seconde,123,
knight,Jeune,87,
coming,comprendre,106,
authority,rire,192,
meaning,ardent,140,
bastard,les pièces,108,
mistake,force,82,
skill,possible,80,
knife,voleur,359,
fools,souper,103,
welcome,démon,127,
return,la patience,230,
mortal,vêtements,172,
should,faux,80,
themselves,entreprendre,464,
afterwards,témoin,110,
doing,malheureux,104,
month,sagesse,227,
disgrace,fantôme,102,
brook,sauf si,53,
sister,déjà,49,
sport,prêt,173,
chair,charmant,140,
grace,accuser,96,
presence,triomphe,162,
souls,maison,82,
tower,merveille,92,
appears,Quatrième,376,
strike,tour,90,
object,procès,310,
proud,nous-mêmes,250,
brave,leontes,298,
wrought,cesser,262,
complete,nombreuses,130,
gower,règne,186,
pound,lisible,90,
betray,Syracuse,168,
elbow,bibliothèque,284,
alive,demain,164,
father,inonder,306,
which,où,300,
while,sol,172,
